"ID","alpha","block","diff","dynamic","english","exposure","first_key_rt","first_key_timestamp","form_response","last_key_rt","rep","response","retrieval_t","rv_trial","swahili","time_block_loop","time_block_sequence","time_correct_answer","time_cue","time_fixation_cross","time_fixation_dot","time_incorrect_answer","time_keyboard","time_press_spacebar","time_study_screen","time_test_screen","trial"
"NA","NA","NA","NA","NA","NA","NA","NA","NA","25","NA","NA","25","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","NA","NA","NA","NA","NA","NA","NA","Male","NA","NA","25","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"35","0.275992424242424","1","difficult","0","doctor","2965","630","445888","Ok","1470","4","doctor","870","584.5562873360691","tabibu","110416","443799","446730","445258","200698","443801","336914","445258","444386","198535","444386","41"
"44","0.199686567164179","1","easy","0","soul","2965","534","452008","Ok","1222","4","soul","757","803.4865417872787","roho","110416","449910","452698","451474","200698","449911","336914","451474","450715","198535","450715","42"
"50","0.315827272727273","1","difficult","0","society","2965","606","458296","Ok","2198","4","society","906","903.4898474488091","chama","110416","455875","459890","457690","200698","455877","336914","457690","456782","198535","456782","43"
"45","0.219891044776119","1","easy","0","door","2965","614","465432","Ok","1206","4","door","1089","657.1664475159292","lango","110416","463067","466026","464818","200698","463069","336914","464818","463727","198535","463727","44"
"68","0.222518181818182","1","easy","0","chair","2965","526","472056","Ok","1110","4","chair","1496","815.1376059469987","kiti","110416","469214","472642","471530","200698","469216","336914","471530","470032","198535","470032","45"
"11","0.183198461538461","1","easy","0","chicken","2965","662","478040","Ok","2254","4","chicken","839","687.7847231300599","kuku","110416","475847","479634","477378","200698","475848","336914","477378","476537","198535","476537","46"
"61","0.158680303030303","1","easy","0","lemon","2965","694","485056","Ok","1406","4","lemon","800","743.2955470481777","limau","110416","482814","485770","484362","200698","482816","336914","484362","483560","198535","483560","47"
"69","0.368722388059701","1","difficult","0","bed","2965","686","491288","Ok","1174","4","bed","723","931.2996338664194","kitanda","110416","488943","491778","490602","200698","488945","336914","490602","489877","198535","489877","48"
"12","0.386646268656716","1","difficult","0","book","2965","790","498520","Ok","1542","4","book","1969","803.4836969963153","fasihi","110416","494954","499274","497730","200698","494955","336914","497730","495759","198535","495759","49"
"19","0.287497014925373","1","difficult","0","wheel","2965","566","506816","Ok","1278","4","wheel","3145","634.3055444116409","duara","110416","502466","507530","506250","200698","502468","336914","506250","503103","198535","503103","50"
"68","0.222518181818182","1","easy","0","chair","2965","374","513144","Ok","942","5","chair","1256","810.799279590194","kiti","110416","510700","513714","512770","200698","510701","336914","512770","511512","198535","511512","51"
"12","0.386646268656716","1","difficult","0","book","2965","278","519376","Ok","1030","5","book","1223","959.5557222908745","fasihi","110416","516910","520130","519098","200698","516911","336914","519098","517873","198535","517873","52"
"61","0.158680303030303","1","easy","0","lemon","2965","718","526000","Ok","1438","5","lemon","1272","700.6168605807406","limau","110416","523305","526722","525282","200698","523307","336914","525282","524008","198535","524008","53"
"69","0.368722388059701","1","difficult","0","bed","2965","637","532336","Ok","1133","5","bed","880","896.2040770757757","kitanda","110416","529915","532834","531699","200698","529917","336914","531699","530816","198535","530816","54"
"45","0.219891044776119","1","easy","0","door","2965","1238","540896","Ok","1982","5","chair","3053","595.7551179683677","lango","110416","536006","532834","539658","200698","536007","541642","539658","536603","198535","536603","55"
"44","0.199686567164179","1","easy","0","soul","2965","542","547128","Ok","1262","5","soul","859","912.1293630314119","roho","110416","544810","547850","546586","200698","544812","541642","546586","545725","198535","545725","56"
"11","0.183198461538461","1","easy","0","chicken","2965","926","553832","Ok","1902","5","chicken","920","957.1415223607797","kuku","110416","551022","554810","552906","200698","551024","541642","552906","551984","198535","551984","57"
"35","0.275992424242424","1","difficult","0","doctor","2965","662","560016","Ok","1510","5","doctor","839","507.737053669718","tabibu","110416","558003","560866","559354","200698","558005","541642","559354","558513","198535","558513","58"
"19","0.287497014925373","1","difficult","0","wheel","2965","518","566984","Ok","1254","5","wheel","1453","948.9404101290594","duara","110416","564058","567722","566466","200698","564059","541642","566466","565011","198535","565011","59"
"50","0.315827272727273","1","difficult","0","society","2965","422","573328","Ok","1526","5","society","1265","740.3360003640687","chama","110416","570896","574434","572906","200698","570898","541642","572906","571639","198535","571639","60"
"72","0.223059090909091","2","easy","1","ice","2465","793","589624","Ok","1321","0","ice","5070","745.1333817031773","maji","110416","582013","590154","588831","587834","582014","541642","588831","582762","582762","571639","61"
"37","0.167559090909091","2","easy","1","skirt","2465","658","596968","Ok","1514","0","skirt","1745","732.7989763847363","skati","110416","0","597826","596310","595314","0","541642","596310","593567","593567","571639","62"
"63","0.216794029850746","2","easy","1","storm","2465","498","604488","Ok","1490","0","storm","1793","690.8245864302829","dhoruba","110416","600506","605482","603990","602994","600508","541642","603990","601199","601199","571639","63"
"75","0.170078787878788","2","easy","1","death","2465","450","611656","Ok","1274","0","death","1641","411.93619171910757","ufu","110416","608151","612482","611206","610210","608152","541642","611206","608567","608567","571639","64"
"14","0.3337796875","2","difficult","1","voice","2465","784","618608","Ok","1472","0","voice","1183","485.548191347982","sauti","110416","615153","619298","617824","616826","615155","541642","617824","615641","615641","571639","65"
"22","0.287647692307692","2","difficult","1","fruit","2465","738","626024","Ok","1586","0","fruit","1613","702.7047680126731","tunda","110416","621970","626874","625286","624290","621972","541642","625286","622675","622675","571639","66"
"32","0.344718181818182","2","difficult","1","party","2465","722","633688","Ok","1682","0","party","1457","960.7546156695472","karamu","110416","629546","634650","632966","631970","629548","541642","632966","630511","630511","571639","67"
"67","0.200788059701493","2","easy","1","apple","2465","922","641280","Ok","1746","0","apple","1603","431.1489037300752","tofaa","110416","637324","642106","640358","639362","637325","541642","640358","637757","637757","571639","68"
"36","0.369626865671642","2","difficult","1","pot","2465","714","649320","Ok","1466","0","pot","1847","968.2719145658971","chunga","110416","644788","650074","648606","647610","644790","541642","648606","645761","645761","571639","69"
"62","0.355907575757576","2","difficult","1","rope","2465","906","656488","Ok","1490","0","rope","1249","583.7013875516817","kamba","110416","652749","657074","655582","654586","652751","541642","655582","653335","653335","571639","70"
"75","0.170078787878788","2","easy","1","death","1965","766","663624","Ok","1438","1","death","2638","471.01521409075156","ufu","110416","659743","664298","662858","654586","659745","541642","662858","660218","653335","660218","71"
"37","0.167559090909091","2","easy","1","skirt","1965","646","669656","Ok","1358","1","skirt","1727","809.3098701017148","skati","110416","666467","670370","669010","654586","666469","541642","669010","667281","653335","667281","72"
"63","0.216794029850746","2","easy","1","storm","1965","462","675424","Ok","1342","1","storm","1667","746.2214309458492","dhoruba","110416","672543","676306","674962","654586","672545","541642","674962","673293","653335","673293","73"
"14","0.3337796875","2","difficult","1","voice","1965","670","682816","Ok","1390","1","voice","3093","572.95705087595","sauti","110416","678476","683538","682146","654586","678478","541642","682146","679051","653335","679051","74"
"32","0.344718181818182","2","difficult","1","party","3465","582","691312","Ok","1158","1","song","4191","825.3609051573624","karamu","110416","685709","683538","690730","654586","685711","691890","690730","686537","653335","686537","75"
"62","0.355907575757576","2","difficult","1","rope","3465","606","699656","Ok","1118","1","pit","2989","495.5787392362425","kamba","110416","695561","683538","699050","654586","695563","700170","699050","696059","653335","696059","76"
"22","0.287647692307692","2","difficult","1","fruit","3465","382","709584","Ok","854","1","door","4854","495.33565929681106","tunda","110416","703848","683538","709202","654586","703850","710058","709202","704347","653335","704346","77"
"67","0.200788059701493","2","easy","1","apple","3465","894","718504","Ok","1310","1","fun","2984","883.1251988284293","tofaa","110416","713739","683538","717610","654586","713740","718922","717610","714624","653335","714624","78"
"72","0.223059090909091","2","easy","1","ice","1965","614","725048","Ok","1238","1","ice","907","924.309922507192","maji","110416","722597","725674","724434","654586","722598","718922","724434","723525","653335","723525","79"
"36","0.369626865671642","2","difficult","1","pot","1965","710","731128","Ok","1174","1","pot","1899","653.7618217594746","chunga","110416","727859","731593","730418","654586","727861","718922","730418","728517","653335","728517","80"
"32","0.344718181818182","2","difficult","1","party","4465","1839","741760","Ok","2391","2","pit","5221","931.1883129970875","karamu","110416","733765","731593","739921","654586","733767","742313","739921","734699","653335","734699","81"
"75","0.170078787878788","2","easy","1","death","1465","870","749792","Ok","1750","2","death","998","927.8596411768239","ufu","110416","746992","750674","748922","654586","746993","742313","748922","747922","653335","747922","82"
"36","0.369626865671642","2","difficult","1","pot","1465","702","754760","Ok","1118","2","pot","827","877.4708687152738","chunga","110416","752348","755178","754058","654586","752349","742313","754058","753229","653335","753229","83"
"63","0.216794029850746","2","easy","1","storm","1465","399","758680","Ok","1359","2","storm","796","628.8364934958323","dhoruba","110416","756853","759642","758281","654586","756855","742313","758281","757484","653335","757484","84"
"72","0.223059090909091","2","easy","1","ice","1465","630","763416","Ok","1142","2","ice","746","697.1245362845913","maji","110416","761335","763929","762786","654586","761337","742313","762786","762038","653335","762038","85"
"14","0.3337796875","2","difficult","1","voice","1465","623","767936","Ok","1335","2","voice","1047","655.3145108585695","sauti","110416","765607","768649","767313","654586","765609","742313","767314","766265","653335","766265","86"
"37","0.167559090909091","2","easy","1","skirt","1465","486","772400","Ok","1150","2","skirt","875","691.0607881591347","skati","110416","770343","773065","771914","654586","770345","742313","771914","771037","653335","771037","87"
"22","0.287647692307692","2","difficult","1","fruit","4465","406","782632","Ok","1270","2","party","6507","963.3801456396122","tunda","110416","774749","773065","782226","654586","774751","783497","782226","775717","653335","775717","88"
"67","0.200788059701493","2","easy","1","apple","4465","1087","796056","Ok","2279","2","car","5800","988.7432954363595","tofaa","110416","788177","773065","794969","654586","788179","797249","794970","789168","653335","789168","89"
"62","0.355907575757576","2","difficult","1","rope","4465","702","805424","Ok","1526","2","party","2154","620.094561243696","kamba","110416","801942","773065","804722","654586","801944","806249","804722","802566","653335","802566","90"
"67","0.200788059701493","2","easy","1","apple","3965","439","813240","Ok","1159","3","apple","1119","743.8721680985332","tofaa","110416","810935","813962","812801","654586","810936","806249","812801","811681","653335","811681","91"
"62","0.355907575757576","2","difficult","1","rope","3965","606","820848","Ok","1062","3","rope","1321","778.2390877653821","kamba","110416","818138","821305","820242","654586","818140","806249","820242","818919","653335","818919","92"
"72","0.223059090909091","2","easy","1","ice","965","566","827536","Ok","998","3","ice","775","712.3423524421573","maji","110416","825478","827969","826970","654586","825480","806249","826970","826193","653335","826193","93"
"32","0.344718181818182","2","difficult","1","party","3965","527","832064","Ok","2295","3","party","1478","915.2429431251064","karamu","110416","829139","833833","831537","654586","829141","806249","831537","830058","653335","830058","94"
"14","0.3337796875","2","difficult","1","voice","965","615","840192","Ok","1327","3","voice","1038","527.5000107708718","sauti","110416","838008","840905","839577","654586","838010","806249","839577","838538","653335","838538","95"
"75","0.170078787878788","2","easy","1","death","965","303","843968","Ok","1079","3","death","779","808.2407759527212","ufu","110416","842074","844746","843665","654586","842076","806249","843665","842886","653335","842885","96"
"37","0.167559090909091","2","easy","1","skirt","965","366","848064","Ok","998","3","skirt","783","987.0629962826758","skati","110416","845923","848697","847698","654586","845925","806249","847698","846913","653335","846913","97"
